relName,className,prevsloc,currsloc,addedsloc,deletedsloc,changedsloc,totalChangedsloc
application\ArgoVersion.java,org.argouml.application.ArgoVersion,8,9,1,0,4,9
application\Main.java,org.argouml.application.Main,413,504,188,97,81,447
application\Main.java,org.argouml.application.PostLoad,24,22,0,2,4,10
application\StartCritics.java,org.argouml.application.StartCritics,38,38,3,3,3,12
application\api\Argo.java,org.argouml.application.api.Argo,112,109,21,24,0,45
application\events\ArgoEvent.java,org.argouml.application.events.ArgoEvent,20,20,0,0,0,0
application\events\ArgoEventPump.java,org.argouml.application.events.ArgoEventPump,200,305,125,20,37,219
application\events\ArgoGeneratorEvent.java,org.argouml.application.events.ArgoGeneratorEvent,6,6,0,0,0,0
application\events\ArgoNotationEvent.java,org.argouml.application.events.ArgoNotationEvent,6,6,0,0,0,0
application\helpers\ResourceLoader.java,org.argouml.application.helpers.ResourceLoader,112,113,1,0,3,7
application\helpers\ResourceLoaderWrapper.java,org.argouml.application.helpers.ResourceLoaderWrapper,282,294,12,0,8,28
application\security\ArgoAwtExceptionHandler.java,org.argouml.application.security.ArgoAwtExceptionHandler,7,7,0,0,0,0
cognitive\AbstractCognitiveTranslator.java,org.argouml.cognitive.AbstractCognitiveTranslator,4,4,0,0,0,0
cognitive\Decision.java,org.argouml.cognitive.Decision,37,40,3,0,1,5
cognitive\DecisionModel.java,org.argouml.cognitive.DecisionModel,43,47,6,2,9,26
cognitive\Designer.java,org.argouml.cognitive.Designer,356,391,83,48,82,295
cognitive\Goal.java,org.argouml.cognitive.Goal,29,29,0,0,0,0
cognitive\GoalModel.java,org.argouml.cognitive.GoalModel,30,38,10,2,8,28
cognitive\ListSet.java,org.argouml.cognitive.ListSet,264,388,142,18,118,396
cognitive\ResolvedCritic.java,org.argouml.cognitive.ResolvedCritic,136,136,4,4,17,42
cognitive\ToDoItem.java,org.argouml.cognitive.ToDoItem,214,203,14,25,12,63
cognitive\ToDoList.java,org.argouml.cognitive.ToDoList,363,392,57,28,127,339
cognitive\ToDoListEvent.java,org.argouml.cognitive.ToDoListEvent,6,16,10,0,5,20
cognitive\Translator.java,org.argouml.cognitive.Translator,14,14,0,0,0,0
cognitive\UnresolvableException.java,org.argouml.cognitive.UnresolvableException,7,7,0,0,0,0
cognitive\checklist\CheckItem.java,org.argouml.cognitive.checklist.CheckItem,38,63,25,0,6,37
cognitive\checklist\CheckManager.java,org.argouml.cognitive.checklist.CheckManager,46,46,0,0,0,0
cognitive\checklist\Checklist.java,org.argouml.cognitive.checklist.Checklist,40,51,16,5,20,61
cognitive\checklist\ChecklistStatus.java,org.argouml.cognitive.checklist.ChecklistStatus,38,17,2,23,10,45
cognitive\checklist\ui\TabChecklist.java,org.argouml.cognitive.checklist.ui.TabChecklist,113,118,5,0,2,9
cognitive\checklist\ui\TabChecklist.java,org.argouml.cognitive.checklist.ui.TableModelChecklist,102,107,7,2,6,21
cognitive\critics\SnoozeOrder.java,org.argouml.cognitive.critics.SnoozeOrder,44,44,0,0,0,0
cognitive\critics\ui\CriticBrowserDialog.java,org.argouml.cognitive.critics.ui.CriticBrowserDialog,341,331,20,30,15,80
cognitive\critics\ui\CriticBrowserDialog.java,org.argouml.cognitive.critics.ui.TableModelCritics,56,110,54,0,34,122
cognitive\ui\AbstractGoList.java,org.argouml.cognitive.ui.AbstractGoList,14,14,0,0,0,0
cognitive\ui\AddToDoItemDialog.java,org.argouml.cognitive.ui.AddToDoItemDialog,102,103,1,0,2,5
cognitive\ui\DesignIssuesDialog.java,org.argouml.cognitive.ui.DesignIssuesDialog,131,131,2,2,7,18
cognitive\ui\DismissToDoItemDialog.java,org.argouml.cognitive.ui.DismissToDoItemDialog,139,139,0,0,0,0
cognitive\ui\GoListToDecisionsToItems.java,org.argouml.cognitive.ui.GoListToDecisionsToItems,73,93,20,0,33,86
cognitive\ui\GoListToGoalsToItems.java,org.argouml.cognitive.ui.GoListToGoalsToItems,66,84,20,2,28,78
cognitive\ui\GoListToOffenderToItem.java,org.argouml.cognitive.ui.GoListToOffenderToItem,48,81,36,3,30,99
cognitive\ui\GoListToPosterToItem.java,org.argouml.cognitive.ui.GoListToPosterToItem,41,56,30,15,14,73
cognitive\ui\GoListToPriorityToItem.java,org.argouml.cognitive.ui.GoListToPriorityToItem,66,78,14,2,37,90
cognitive\ui\GoListToTypeToItem.java,org.argouml.cognitive.ui.GoListToTypeToItem,66,85,22,3,28,81
cognitive\ui\GoalsDialog.java,org.argouml.cognitive.ui.GoalsDialog,77,77,2,2,13,30
cognitive\ui\KnowledgeTypeNode.java,org.argouml.cognitive.ui.KnowledgeTypeNode,26,34,8,0,17,42
cognitive\ui\PriorityNode.java,org.argouml.cognitive.ui.PriorityNode,30,41,11,0,12,35
cognitive\ui\TabToDo.java,org.argouml.cognitive.ui.TabToDo,113,118,5,0,6,17
cognitive\ui\ToDoByDecision.java,org.argouml.cognitive.ui.ToDoByDecision,93,95,11,9,27,74
cognitive\ui\ToDoByGoal.java,org.argouml.cognitive.ui.ToDoByGoal,97,83,3,17,15,50
cognitive\ui\ToDoByOffender.java,org.argouml.cognitive.ui.ToDoByOffender,106,122,51,35,33,152
cognitive\ui\ToDoByPoster.java,org.argouml.cognitive.ui.ToDoByPoster,102,110,17,9,68,162
cognitive\ui\ToDoByPriority.java,org.argouml.cognitive.ui.ToDoByPriority,92,104,21,9,39,108
cognitive\ui\ToDoByType.java,org.argouml.cognitive.ui.ToDoByType,93,95,11,9,25,70
cognitive\ui\ToDoPane.java,org.argouml.cognitive.ui.ToDoPane,245,289,45,1,45,136
cognitive\ui\ToDoPerspective.java,org.argouml.cognitive.ui.ToDoPerspective,52,57,5,0,7,19
cognitive\ui\ToDoTreeRenderer.java,org.argouml.cognitive.ui.ToDoTreeRenderer,89,89,0,0,0,0
cognitive\ui\WizDescription.java,org.argouml.cognitive.ui.WizDescription,89,89,0,0,1,2
cognitive\ui\WizStep.java,org.argouml.cognitive.ui.WizStep,157,157,0,0,0,0
cognitive\ui\WizStepChoice.java,org.argouml.cognitive.ui.WizStepChoice,88,91,3,0,5,13
cognitive\ui\WizStepConfirm.java,org.argouml.cognitive.ui.WizStepConfirm,45,45,0,0,0,0
cognitive\ui\WizStepCue.java,org.argouml.cognitive.ui.WizStepCue,43,43,0,0,0,0
cognitive\ui\WizStepManyTextFields.java,org.argouml.cognitive.ui.WizStepManyTextFields,77,79,2,0,12,26
cognitive\ui\WizStepTextField.java,org.argouml.cognitive.ui.WizStepTextField,63,63,0,0,0,0
i18n\Translator.java,org.argouml.i18n.Translator,161,165,23,19,13,68
kernel\AbstractProjectMember.java,org.argouml.kernel.AbstractProjectMember,61,66,5,0,4,13
kernel\DelayedChangeNotify.java,org.argouml.kernel.DelayedChangeNotify,10,10,0,0,0,0
kernel\MemberList.java,org.argouml.kernel.MemberList,213,252,58,19,38,153
kernel\ProjectManager.java,org.argouml.kernel.ProjectManager,150,158,12,4,39,94
kernel\ProjectSettings.java,org.argouml.kernel.ProjectSettings,370,589,219,0,36,291
language\cpp\generator\GeneratorCpp.java,org.argouml.language.cpp.generator.GeneratorCpp,2016,2120,138,34,239,650
language\cpp\generator\ModuleCpp.java,org.argouml.language.cpp.generator.ModuleCpp,33,33,0,0,1,2
language\cpp\generator\Section.java,org.argouml.language.cpp.generator.Section,38,38,0,0,0,0
language\cpp\notation\AttributeNotationCpp.java,org.argouml.language.cpp.notation.AttributeNotationCpp,17,17,0,0,1,2
language\cpp\notation\ModelElementNameNotationCpp.java,org.argouml.language.cpp.notation.ModelElementNameNotationCpp,22,22,0,0,1,2
language\cpp\notation\NotationModuleCpp.java,org.argouml.language.cpp.notation.NotationModuleCpp,46,46,0,0,0,0
language\cpp\notation\OperationNotationCpp.java,org.argouml.language.cpp.notation.OperationNotationCpp,13,13,0,0,1,2
language\cpp\reveng\CPPLexer.java,org.argouml.language.cpp.reveng.CPPLexer,2046,2042,0,4,7,18
language\cpp\reveng\CPPParser.java,org.argouml.language.cpp.reveng.CPPParser,8990,8988,0,2,53,108
language\cpp\reveng\CPPvariables.java,org.argouml.language.cpp.reveng.CPPvariables,27,27,0,0,0,0
language\cpp\reveng\CppImport.java,org.argouml.language.cpp.reveng.CppImport,116,116,2,2,10,24
language\cpp\reveng\ModelerImpl.java,org.argouml.language.cpp.reveng.ModelerImpl,513,574,78,17,57,209
language\cpp\ui\SettingsTabCpp.java,org.argouml.language.cpp.ui.SettingsTabCpp,109,138,29,0,7,43
language\csharp\generator\GeneratorCSharp.java,org.argouml.language.csharp.generator.GeneratorCSharp,1147,1066,27,108,86,307
language\csharp\generator\Section.java,org.argouml.language.csharp.generator.Section,104,104,0,0,0,0
language\java\cognitive\critics\CrMultipleInheritance.java,org.argouml.language.java.cognitive.critics.CrMultipleInheritance,38,38,0,0,0,0
language\java\cognitive\critics\CrMultipleRealization.java,org.argouml.language.java.cognitive.critics.CrMultipleRealization,20,19,0,1,3,7
language\java\generator\AnonymousClassCodePiece.java,org.argouml.language.java.generator.AnonymousClassCodePiece,38,38,0,0,4,8
language\java\generator\AttributeCodePiece.java,org.argouml.language.java.generator.AttributeCodePiece,108,100,2,10,18,48
language\java\generator\ClassCodePiece.java,org.argouml.language.java.generator.ClassCodePiece,42,42,0,0,4,8
language\java\generator\ClassifierEndCodePiece.java,org.argouml.language.java.generator.ClassifierEndCodePiece,52,50,0,2,7,16
language\java\generator\CodeGenerator.java,org.argouml.language.java.generator.CodeGenerator,110,106,0,4,10,24
language\java\generator\CodePiece.java,org.argouml.language.java.generator.CodePiece,8,8,0,0,1,2
language\java\generator\CodePieceCollector.java,org.argouml.language.java.generator.CodePieceCollector,63,62,0,1,8,17
language\java\generator\CompositeCodePiece.java,org.argouml.language.java.generator.CompositeCodePiece,60,60,0,0,13,26
language\java\generator\GeneratorJava.java,org.argouml.language.java.generator.GeneratorJava,1420,1333,18,105,105,333
language\java\generator\InterfaceCodePiece.java,org.argouml.language.java.generator.InterfaceCodePiece,41,41,0,0,4,8
language\java\generator\JavaLexer.java,org.argouml.language.java.generator.JavaLexer,1807,1797,0,10,0,10
language\java\generator\JavaRecognizer.java,org.argouml.language.java.generator.JavaRecognizer,3408,3407,0,1,4,9
language\java\generator\NamedCodePiece.java,org.argouml.language.java.generator.NamedCodePiece,32,32,0,0,2,4
language\java\generator\OperationCodePiece.java,org.argouml.language.java.generator.OperationCodePiece,54,53,0,1,6,13
language\java\generator\PackageCodePiece.java,org.argouml.language.java.generator.PackageCodePiece,34,34,0,0,3,6
language\java\generator\ParseState.java,org.argouml.language.java.generator.ParseState,51,68,17,0,6,29
