"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","296","","0.0474907604782924","0.0261054443154799","0.078562471517912","","0.0111054774451812","","0.0763851822538025","0.00129365329312363","0.289456274689395","","0.020591314650535","0.0373231174085109"
"Blob_0","291","0.0109867869363257","","0.0263821701628249","0.0748361536115278","","0.0092078862538513","","0.0700421289072789","0.00131588101293675","0.297637081241905","","0.0193046329353176","0.0362404195211351"
"ClassDataShouldBePrivate_0","289","0.0108156623773087","0.0476524249683747","","0.0747313104226958","","0.00791426063589489","","0.0731933255708743","0.00132498745593285","0.295083243280488","","0.021090066216465","0.0334817099705559"
"ComplexClass_0","282","0.00864830377708317","0.0424636480911535","0.0243774246085258","","","0.00882630748012248","","0.0714332066451167","0.00127907500901551","0.301462378160972","","0.0210521127773938","0.0400214235664173"
"LargeClass_0","301","","","","","","","","","","","","",""
"LazyClass_0","296","0.0108011993191581","0.0446754451629771","0.0250919308019664","0.0796604444908849","","","","0.0767324044760247","0.00129365329312363","0.290920238653359","","0.0201314798157002","0.0383272465376401"
"LongMethod_0","301","","","","","","","","","","","","",""
"LongParameterList_0","265","0.00883173194990474","0.0333952783460577","0.0184779470257604","0.0726083380748811","","0.00928770162874249","","","0.0014449863198664","0.321538221647669","","0.0162286214796752","0.0380665235747811"
"MessageChains_0","300","0.010657183328236","0.0468575503385819","0.0264240383912735","0.0801260830087842","","0.0109574044125787","","0.0777000464904184","","0.287874635471314","","0.0206500971218612","0.0377699202875086"
"RefusedParentBequest_0","228","0.00886387948368558","0.0616546714981341","0.0264818756475888","0.0785699305338977","","0.0143378925683851","","0.097142315154261","0.00163379257937688","","","0.0264528660028279","0.0232402415511562"
"SpaghettiCode_0","301","","","","","","","","","","","","",""
"SpeculativeGenerality_0","296","0.0104258239437827","0.0448940461168722","0.0264057446157802","0.0813181683912559","","0.0107080211653719","","0.0754776570815714","0.00129365329312363","0.291595914329035","","","0.0379126775568946"
"SwissArmyKnife_0","297","0.0106151870505937","0.0419997702634385","0.0263916586817952","0.0808606150855658","","0.00952487538868784","","0.0748279556768162","0.00121447526108543","0.289604008893583","","0.0192406517878883",""
"AntiSingleton_1","5","","0","0.04","0.206666666666667","","0","","0.14","0","0.186666666666667","","0.02","0.106666666666667"
"Blob_1","10","0","","0.025","0.251050420168067","","0.0607726423902894","","0.292775443510738","0","0","","0.0577380952380952","0.103501400560224"
"ClassDataShouldBePrivate_1","12","0.00595238095238095","0.0238095238095238","","0.224206349206349","","0.0833333333333333","","0.179761904761905","0","0.111111111111111","","0.00833333333333333","0.158730158730159"
"ComplexClass_1","19","0.0399122807017544","0.109606123151015","0.0554093567251462","","","0.0420106639146887","","0.166623667010664","0.00116959064327485","0.0842105263157895","","0.0135964912280702","0.0155228758169935"
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","5","0","0.166666666666667","0.1","0.141666666666667","","","","0.119444444444444","0","0.1","","0.0472222222222222","0.0472222222222222"
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","36","0.0237985008818342","0.144653231663036","0.0841820987654321","0.140183758688661","","0.0229438997821351","","","0","0.039021164021164","","0.0526234567901235","0.0414818705259882"
"MessageChains_1","1","0","0","0","0.25","","0","","0","","0.25","","0","0.25"
"RefusedParentBequest_1","73","0.0161121983039791","0","0.0258814228730384","0.0873134348069398","","0.00024906600249066","","0.0159118642733428","0.000142694063926941","","","0.00224350257415916","0.0860575481176568"
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","5","0.0222222222222222","0.153725490196078","0.0222222222222222","0.0435294117647059","","0.0235294117647059","","0.193725490196078","0","0.06","","","0.0717647058823529"
"SwissArmyKnife_1","4","0.0111111111111111","0.395833333333333","0.0222222222222222","0.0680555555555555","","0.114583333333333","","0.271527777777778","0.00555555555555556","0.15","","0.120138888888889",""
