,Estimate,Std. Error,z value,Pr(>|z|)
"(Intercept)",-0.88765311353641,0.149669753759365,-5.93074479806757,3.01563612878531e-09
"AntiSingleton",-17.0887248090926,10973.7812385273,-0.00155723213700458,0.998757509022466
"Blob",-34.8562096081749,48053.9836741859,-0.000725355255549797,0.99942125029125
"ClassDataShouldBePrivate",-0.955157421403682,1.18615236270139,-0.805256939528717,0.420671424829196
"ComplexClass",-19.0671342879109,9912.52417445588,-0.00192353975156459,0.998465238276574
"LazyClass",-0.90410635569163,1.09044380958257,-0.829117784654793,0.407037761074573
"LongParameterList",-0.674992991945095,1.10691742075646,-0.609795255985592,0.541997444481502
"MessageChains",-19.2894992045075,32151.0732745776,-0.000599964394338278,0.999521297701445
"RefusedParentBequest",-0.306300809455531,0.500076185071509,-0.612508290935171,0.540201514243808
"SpeculativeGenerality",0.395350560433365,1.27112376502342,0.311024442553855,0.755782040065977
"ClassDataShouldBePrivate_AntiSingleton",-167.617657089409,69084.5959879524,-0.00242626673417385,0.998064121131759
"ComplexClass_Blob",53.4856118120391,219056.450876761,0.000244163600742941,0.999805185634593
"LongParameterList_Blob",579.731219173876,33419.8204203329,0.0173469280170387,0.986159848081649
"LongParameterList_ClassDataShouldBePrivate",-1321.74923429781,75829.1784825259,-0.0174306152426852,0.986093085430642
"MessageChains_ClassDataShouldBePrivate",0.115915244480767,155727.147730016,7.44348343692327e-07,0.999999406095949
"Blob_ComplexClass",-277.332951721034,199807.273195705,-0.00138800228482871,0.998892534762174
"Blob_LazyClass",622.885501032718,913016.855565798,0.000682227822230856,0.999455660995918
"ClassDataShouldBePrivate_LazyClass",-97.01422779625,130363.645451202,-0.000744181611832606,0.999406229036291
"ComplexClass_LazyClass",-118.58556490386,437661.831687714,-0.00027095249418157,0.999783811190827
"Blob_LongParameterList",305.840289636024,244590.246657991,0.00125041899182382,0.999002310251878
"ClassDataShouldBePrivate_LongParameterList",5.05882971963447,5.89884058922279,0.857597292742064,0.391114870480472
"AntiSingleton_MessageChains",4932.78627369326,688537.091009867,0.0071641547537525,0.994283880427568
"ClassDataShouldBePrivate_MessageChains",-85.6225342337902,39858.7251194717,-0.0021481503479388,0.9982860253213
